"id","election_id","district_id","precinct_id","user_id","possible_voters","special_voters","votes_by_1200","votes_by_1700","ballots_signed_for","ballots_available","invalid_ballots_submitted","party_1","party_2","party_3","party_4","party_5","party_6","party_7","party_8","party_9","party_10","party_11","party_12","party_13","party_14","party_15","party_16","party_17","party_18","party_19","party_20","party_21","party_22","party_41","created_at","updated_at","is_valid","is_extra"
"60","1","3","27","38","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:44:05","2013-10-27 21:44:28","1","0"
"61","1","2","24","23","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:44:07","2013-10-27 21:44:07","NULL","1"
"62","1","2","60","30","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:12","2013-10-27 21:44:12","NULL","1"
"63","1","2","60","18","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:13","2013-10-27 21:44:13","NULL","1"
"64","1","2","60","29","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:16","2013-10-27 21:44:16","NULL","1"
"65","1","2","60","25","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:17","2013-10-27 21:44:17","NULL","1"
"66","1","2","60","19","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:18","2013-10-27 21:44:18","NULL","1"
"67","1","2","60","29","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:26","2013-10-27 21:44:26","NULL","1"
"68","1","2","24","26","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:44:26","2013-10-27 21:44:26","NULL","1"
"69","1","2","60","22","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:26","2013-10-27 21:44:26","NULL","1"
"70","1","3","27","27","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:44:28","2013-10-27 21:44:28","1","0"
"71","1","3","2","36","1358","7","230","701","826","1250","13","1","2","0","8","55","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:44:45","2013-10-27 21:44:45","0","0"
"72","1","3","27","24","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:44:52","2013-10-27 21:44:52","NULL","1"
"73","1","3","2","38","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:44:52","2013-10-27 21:45:04","1","0"
"74","1","2","56","32","1604","9","217","651","804","1500","29","0","0","0","5","162","2","3","0","21","11","3","1","0","73","2","2","1","0","0","1","0","1","487","2013-10-27 21:44:54","2013-10-27 21:45:30","0","0"
"75","1","3","27","31","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:45:04","2013-10-27 21:45:04","NULL","1"
"76","1","3","2","37","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:04","2013-10-27 21:45:04","1","0"
"77","1","1","36","35","306","50","119","203","216","350","3","0","0","0","2","31","0","1","0","12","3","0","0","1","28","0","1","0","0","0","2","0","0","132","2013-10-27 21:45:17","2013-10-27 21:45:17","NULL","1"
"78","1","2","56","36","1604","9","217","651","804","1500","29","0","0","0","5","162","2","3","0","21","11","3","1","0","73","2","2","1","0","0","1","0","1","477","2013-10-27 21:45:30","2013-10-27 21:45:30","0","0"
"79","1","3","2","21","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","6","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:45:37","2013-10-27 21:45:37","NULL","1"
