region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,2,,72,,899,12,250,562,668,,17,,,,,,,,10,0,169,,5,,,,4,,,0,3,8,,448,
,2,,73,,1056,6,313,636,704,,14,,,,,,,,9,1,207,,13,,,,4,,,0,3,2,,448,
,2,,74,,939,7,291,635,698,,10,,,,,,,,15,1,176,,3,,,,17,,,0,0,8,,467,
,2,,75,,872,8,279,602,649,,16,,,,,,,,0,0,137,,7,,,,11,,,0,0,3,,474,
,2,,76,,1258,11,263,796,935,,18,,,,,,,,12,2,161,,1,,,,28,,,1,2,11,,695,
,2,,77,,884,7,92,274,335,,9,,,,,,,,9,0,58,,8,,,,3,,,0,0,4,,239,
,2,,78,,905,13,270,591,677,,11,,,,,,,,13,1,135,,6,,,,11,,,0,0,5,,489,
,3,,1,,1611,5,350,900,1106,,29,,,,,,,,8,5,248,,13,,,51,8,,3,,0,7,,714,
,3,,2,,1393,10,420,956,1053,,28,,,,,,,,16,6,212,,11,,,71,14,,5,,1,9,,677,
,3,,3,,1370,12,326,810,968,,19,,,,,,,,8,2,235,,9,,,50,8,,4,,0,11,,622,
,3,,4,,1527,7,414,911,1038,,26,,,,,,,,10,3,240,,18,,,30,6,,1,,0,7,,692,
,3,,5,,1550,8,410,927,1101,,38,,,,,,,,17,1,244,,8,,,40,11,,3,,0,10,,729,
,3,,6,,1336,11,361,792,911,,12,,,,,,,,8,1,232,,20,,,45,13,,0,,1,10,,569,
,3,,7,,1352,9,352,894,1026,,36,,,,,,,,19,5,222,,14,,,56,8,,0,,0,6,,657,
,3,,8,,1592,8,415,925,1088,,17,,,,,,,,7,3,261,,9,,,26,7,,9,,0,10,,734,
,3,,9,,1579,9,375,932,1173,,20,,,,,,,,7,5,232,,13,,,55,8,,2,,0,8,,815,
,3,,10,,1477,10,432,1000,1127,,46,,,,,,,,11,5,201,,12,,,70,8,,5,,4,4,,754,
,3,,11,,1420,11,296,807,1032,,20,,,,,,,,19,2,205,,26,,,49,5,,1,,1,7,,693,
,3,,12,,1640,5,379,923,1155,,31,,,,,,,,11,5,253,,23,,,57,14,,4,,1,3,,751,
,3,,13,,1531,10,305,840,1045,,20,,,,,,,,18,2,204,,13,,,50,10,,2,,1,3,,717,
,3,,14,,1541,6,462,985,1115,,28,,,,,,,,24,4,213,,5,,,46,9,,4,,2,5,,769,
,3,,15,,1498,7,532,950,1101,,30,,,,,,,,9,2,243,,8,,,38,9,,1,,1,6,,746,
,3,,16,,1547,13,394,940,1141,,41,,,,,,,,7,2,236,,13,,,43,14,,3,,0,10,,765,
,3,,17,,1400,9,482,899,982,,28,,,,,,,,10,3,178,,11,,,52,14,,3,,0,5,,674,
,3,,18,,1467,6,300,843,1060,,26,,,,,,,,11,3,203,,8,,,51,13,,0,,1,12,,727,
,3,,19,,1401,11,397,882,1000,,30,,,,,,,,10,5,200,,11,,,56,10,,3,,0,7,,664,
,3,,20,,1333,6,389,860,980,,19,,,,,,,,12,1,196,,9,,,41,6,,0,,0,9,,685,
,3,,21,,1351,11,365,817,947,,33,,,,,,,,6,6,245,,11,,,47,18,,1,,0,4,,571,
,3,,22,,1438,12,400,824,930,,19,,,,,,,,15,7,211,,10,,,63,11,,3,,0,3,,586,
,3,,23,,1381,3,373,819,958,,23,,,,,,,,10,3,255,,13,,,42,4,,0,,0,5,,602,
,3,,24,,1552,9,281,905,1090,,46,,,,,,,,9,4,278,,14,,,52,6,,1,,0,8,,669,
,3,,25,,1375,11,362,821,915,,24,,,,,,,,11,2,201,,12,,,38,6,,5,,1,10,,599,
,3,,26,,1233,8,391,801,901,,23,,,,,,,,11,1,196,,8,,,57,15,,1,,0,4,,582,
,3,,27,,1445,12,365,869,996,,25,,,,,,,,9,3,212,,7,,,44,12,,0,,0,5,,674,
,3,,28,,1410,12,395,910,1061,,31,,,,,,,,6,6,226,,5,,,30,15,,2,,1,5,,729,
,3,,29,,1443,7,430,917,1041,,36,,,,,,,,9,4,203,,7,,,48,7,,0,,1,10,,711,
,3,,30,,1281,11,348,775,908,,24,,,,,,,,14,4,188,,10,,,43,6,,4,,0,15,,595,
,3,,31,,1552,9,342,896,1114,,30,,,,,,,,13,1,280,,8,,,68,7,,2,,0,7,,698,
,3,,32,93,1475,1430,436,912,2483,,47,,,,,,,,11,11,1577,,16,,,54,12,,1,,0,9,,733,
,3,,33,,1382,10,400,760,884,,24,,,,,,,,1,1,278,,8,,,53,4,,1,,0,7,,508,
